,flg1,flg2,flg3,flg4,flg5,flg6,flg7,flg8,flg9,flg10,flg11,flg12,flg13,flg14,flg15,flg16,flg17,flg18,flg19,flg20,flg21,flg22,flg23,flg24,flg25,flg26,flg27,flg28,flg29,flg30,flg31,flg32,flg33,flg34,flg35,flg36,flg37,flg38,flg39,flg40,flg41,flg42,flg43,flg44,flg45,flg46
answer_x,-2,2,-2,3,-1,-2,0,0,1,1,-1,-1,2,-2,3,-2,0,-1,1,0,-3,2,-1,2,-2,2,-3,1,2,0,0,-1,-1,1,1,-2,2,-3,2,0,1,-1,0,3,-2,1
answer_y,-2,2,-2,3,-1,-2,0,0,1,1,-1,-1,2,-2,3,-2,0,-1,1,0,-3,2,-1,2,-2,2,-3,1,2,0,0,-1,-1,1,1,-2,2,-3,2,0,1,-1,0,3,-2,1
